draw_no,date,weekday,n1,n2,n3,n4,n5,star1,star2,jackpot,jackpot_wins
864,2016-01-01,,4,37,38,39,44,4,7,,
865,2016-01-05,,6,10,31,36,39,6,10,,
866,2016-01-08,,5,26,33,35,40,3,8,,
867,2016-01-12,,1,2,10,30,44,1,8,,
868,2016-01-15,,10,19,38,43,46,1,11,,
869,2016-01-19,,2,30,38,43,46,2,7,,
870,2016-01-22,,10,12,27,30,47,8,9,,
871,2016-01-26,,15,24,38,40,48,2,9,,
872,2016-01-29,,1,5,23,29,32,1,7,,
873,2016-02-02,,6,9,10,21,36,2,6,,
874,2016-02-05,,3,27,32,41,46,4,8,,
875,2016-02-09,,6,9,13,28,37,4,5,,
876,2016-02-12,,3,20,28,31,49,2,5,,
877,2016-02-16,,3,10,22,37,50,6,10,,
878,2016-02-19,,13,14,30,32,39,3,9,,
879,2016-02-23,,23,25,32,37,42,1,11,,
880,2016-02-26,,5,13,15,33,50,9,11,,
881,2016-03-01,,4,7,13,28,37,10,11,,
882,2016-03-04,,9,14,16,23,40,1,5,,
883,2016-03-08,,1,8,9,14,23,1,7,,
884,2016-03-11,,1,21,26,40,43,6,9,,
885,2016-03-15,,5,7,10,34,44,2,10,,
886,2016-03-18,,14,19,21,24,49,5,11,,
887,2016-03-22,,12,15,26,42,49,5,8,,
888,2016-03-25,,12,19,36,42,43,5,8,,
889,2016-03-29,,1,4,19,25,36,3,11,,
890,2016-04-01,,2,16,23,25,49,6,9,,
891,2016-04-05,,3,5,9,19,40,2,5,,
892,2016-04-08,,6,8,26,43,49,6,10,,
893,2016-04-12,,1,5,9,22,38,2,10,,
894,2016-04-15,,13,14,32,37,48,1,7,,
895,2016-04-19,,11,14,15,27,44,2,7,,
896,2016-04-22,,17,26,32,34,43,2,10,,
897,2016-04-26,,10,17,31,32,42,2,5,,
898,2016-04-29,,4,5,25,28,43,6,11,,
899,2016-05-03,,8,23,24,34,38,3,7,,
900,2016-05-06,,32,34,40,45,48,1,10,,
901,2016-05-10,,2,26,27,40,49,5,10,,
902,2016-05-13,,7,15,28,31,42,10,11,,
903,2016-05-17,,15,27,32,36,39,3,10,,
904,2016-05-20,,9,14,30,41,45,4,9,,
905,2016-05-24,,16,17,23,34,37,6,9,,
906,2016-05-27,,13,25,27,43,46,4,8,,
907,2016-05-31,,6,12,26,30,48,6,7,,
908,2016-06-03,,7,23,31,33,39,6,10,,
909,2016-06-07,,19,26,35,45,49,2,5,,
910,2016-06-10,,14,21,35,42,43,7,9,,
911,2016-06-14,,13,34,39,42,50,9,11,,
912,2016-06-17,,1,7,18,27,43,4,8,,
913,2016-06-21,,5,17,32,35,49,1,5,,
914,2016-06-24,,11,19,27,28,39,3,10,,
915,2016-06-28,,26,32,37,43,49,4,5,,
916,2016-07-01,,2,11,13,40,50,1,10,,
917,2016-07-05,,1,10,29,38,48,3,4,,
918,2016-07-08,,8,12,18,33,44,4,8,,
919,2016-07-12,,3,7,26,33,41,2,10,,
920,2016-07-15,,2,11,13,14,21,1,8,,
921,2016-07-19,,19,24,28,36,37,3,6,,
922,2016-07-22,,7,24,26,37,45,5,9,,
923,2016-07-26,,3,10,13,45,49,2,11,,
924,2016-07-29,,1,21,26,40,50,2,4,,
925,2016-08-02,,2,8,27,38,46,2,6,,
926,2016-08-05,,16,19,24,35,37,2,7,,
927,2016-08-09,,12,19,43,44,45,5,10,,
928,2016-08-12,,2,15,28,36,50,2,11,,
929,2016-08-16,,2,26,34,37,46,4,8,,
930,2016-08-19,,5,6,22,25,34,5,7,,
931,2016-08-23,,2,23,31,37,45,4,8,,
932,2016-08-26,,1,9,28,30,48,7,8,,
933,2016-08-30,,13,16,29,35,42,6,8,,
934,2016-09-02,,8,16,32,40,50,2,11,,
935,2016-09-06,,12,24,30,34,45,7,10,,
936,2016-09-09,,4,11,15,17,28,1,3,,
937,2016-09-13,,4,7,16,35,44,1,3,,
938,2016-09-16,,5,8,14,22,32,2,11,,
939,2016-09-20,,1,4,10,41,45,6,9,,
940,2016-09-23,,14,16,39,42,49,3,9,,
941,2016-09-27,,6,9,13,39,41,2,12,,
942,2016-09-30,,17,35,37,43,44,2,10,,
943,2016-10-04,,4,7,14,34,38,4,11,,
944,2016-10-07,,2,12,20,27,30,9,11,,
