evidence_rank,agent,agent_label,rank_within_agent,main_draw,auxiliary_draw,backtest_consistency_pct,backtest_mean_roi_alpha_pp,history_cutoff,score_status,commitment_sha256
1,unpopularity,Crowd escape,1,40 43 44 47 50,1 2,100.0,4.321855129894112,2026-08-28,PENDING,1cfea685f9e5d23926355e31657300c55fa7e88fb29d669afd25953b7886d40a
2,unpopularity,Crowd escape,2,38 43 44 47 50,7 9,100.0,4.321855129894112,2026-08-28,PENDING,02f72c4e563793333c23183d5ef1510daaa25fa9189c338908def6303cd8f294
3,unpopularity,Crowd escape,3,39 41 43 46 50,6 8,100.0,4.321855129894112,2026-08-28,PENDING,24f2894fe6dfa68b5ada1ad9ebf1abbd49e2c8c2b6406ac377823d0956b18b35
4,unpopularity,Crowd escape,4,32 40 47 48 50,2 10,100.0,4.321855129894112,2026-08-28,PENDING,6d45b94f78b76a19575587ce17948f9009f3e20fd81e1fc18099b4247c674f18
5,unpopularity,Crowd escape,5,38 39 45 46 48,1 7,100.0,4.321855129894112,2026-08-28,PENDING,397669348f7a276a318e851a2bb9c2881e4341f94f2cb3502009f34ab56f2c8b
6,unpopularity,Crowd escape,6,36 39 43 46 50,2 6,100.0,4.321855129894112,2026-08-28,PENDING,eb6160dd32affbaf3f0f83075a1b6c8d41a91591a0f2396dd94a8f2e5e4fd2a9
7,unpopularity,Crowd escape,7,37 41 43 46 47,2 3,100.0,4.321855129894112,2026-08-28,PENDING,9af5c6236e330a979092752b18ad87e138b577e1c9d3f96068a53c8680d5a3a3
8,unpopularity,Crowd escape,8,32 41 45 47 48,1 3,100.0,4.321855129894112,2026-08-28,PENDING,56ae99d5b7ef30d820bfb16d5e5802975d6f8791e44eb051050f5e5b68b7b8bc
9,unpopularity,Crowd escape,9,34 38 46 47 48,3 12,100.0,4.321855129894112,2026-08-28,PENDING,f6469446ded5998a1b52872822d4c84c378a8ebd3e9471c0956e6451a0a1b698
10,unpopularity,Crowd escape,10,36 41 43 44 48,2 8,100.0,4.321855129894112,2026-08-28,PENDING,dc028fcefa91d59310a5a1b10c8b0d4e9e17218a5595a6998c53c3ffe78384b6
11,unpopularity,Crowd escape,11,36 38 44 46 47,3 5,100.0,4.321855129894112,2026-08-28,PENDING,fd2cedea9e51b44d637ceb7c79741e17f7a3b4b87a0e48c7b676ff0f529f1365
12,unpopularity,Crowd escape,12,34 36 45 47 48,1 8,100.0,4.321855129894112,2026-08-28,PENDING,57efd0b408f3a3629bd658733d6a63e92369a5b8cd36863c16cc11b34088a7db
13,spectral_contrarian,Spectral contrarian,1,2 14 22 33 41,7 11,100.0,2.867548684680111,2026-08-28,PENDING,89c93cec240fe56762f4b8c828b6113dd88966e664e2ed4488f1ec6823fcf6a0
14,spectral_contrarian,Spectral contrarian,2,11 18 30 37 49,6 11,100.0,2.867548684680111,2026-08-28,PENDING,65a091270a56dba7f9433a0977ec12f006bff1de585e82cbf9a2f1729445146f
15,spectral_contrarian,Spectral contrarian,3,1 13 21 32 40,7 11,100.0,2.867548684680111,2026-08-28,PENDING,a636c2a6c3b02ce2e1849273c7960fa850b72562f9ad350f233e5ad34d618b50
16,spectral_contrarian,Spectral contrarian,4,1 8 20 32 39,4 11,100.0,2.867548684680111,2026-08-28,PENDING,0cfdbd0eabd3b5c9b770bdea5f96abac1d586250ba6c0d64baf883be7088be11
17,spectral_contrarian,Spectral contrarian,5,4 15 22 34 42,7 12,100.0,2.867548684680111,2026-08-28,PENDING,2242888f4ce6be5492bb8dafce0d9d0a758f2f618a66359a88f09de571031065
18,spectral_contrarian,Spectral contrarian,6,6 18 25 37 49,3 8,100.0,2.867548684680111,2026-08-28,PENDING,f6b985d3c42e4c87b4267e88adcf28641611bbd757baa5196135befcfd8b6a44
19,spectral_contrarian,Spectral contrarian,7,3 15 22 34 46,2 7,100.0,2.867548684680111,2026-08-28,PENDING,788168571b98228a1bab47c3fbe978c4791f48142a1bb1156ce5c1540b50d45e
20,spectral_contrarian,Spectral contrarian,8,7 19 31 38 50,3 11,100.0,2.867548684680111,2026-08-28,PENDING,708c091c36e1103e3df94bab24e917d40fd889cc2cfa560afeeb5f9566b1064c
21,spectral_contrarian,Spectral contrarian,9,4 16 23 35 47,3 7,100.0,2.867548684680111,2026-08-28,PENDING,1839219218ba5cc9d565d275ad5575285a17d2a59b29951866593ae57e3a5a39
22,spectral_contrarian,Spectral contrarian,10,5 17 24 36 48,3 7,100.0,2.867548684680111,2026-08-28,PENDING,1875ae479d1aa329401f53ab2629bb0e8129b9fbe3800325dd103343d6567ff7
23,spectral_contrarian,Spectral contrarian,11,2 14 21 33 45,2 7,100.0,2.867548684680111,2026-08-28,PENDING,c3eae84e96657c89d7e2e8dc869f51bdb75a9c8643ebc1274a53a4043b922c1a
24,spectral_contrarian,Spectral contrarian,12,1 13 20 32 44,2 6,100.0,2.867548684680111,2026-08-28,PENDING,3ed4f1dd0eb5d5247f938fe3d0b58939f1e4734b2a4a91dd821620bb807b953a
25,gingerm,Co-occurrence,1,3 5 19 29 32,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,e35ccf5665a8008739794587c1473083344b8ee57997844d42acee2f3091cecf
26,gingerm,Co-occurrence,2,3 8 14 38 44,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,2acb038a77ff8c8c4c39acdc0e3ac0ff19c543365759193cc3f5866d1b0c095b
27,gingerm,Co-occurrence,3,4 8 11 35 44,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,f28b504da85c08772ef4451285762b8f30c4be8a2d72173dbcda8509e966edf0
28,gingerm,Co-occurrence,4,4 14 19 44 47,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,3a2e8d45a934e3091b7f4a5ed0483f3ca6988c540a364cac5c8f0d034558d009
29,gingerm,Co-occurrence,5,7 21 25 35 45,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,aecbe39eff9104527a308286295f21a06fe7c81980845fea5f5c209473da0dcb
30,gingerm,Co-occurrence,6,7 21 26 27 43,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,0bbe000bfa71e14e791b67212665234ecda2e65c760b51a1fa90a350ef75f9b9
31,gingerm,Co-occurrence,7,12 19 29 41 42,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,fca2b8b1821877df9a9a14223f7d589ee41af6278c1442f8fb60b4538c6c522a
32,gingerm,Co-occurrence,8,13 16 18 24 42,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,6fe20764eafb30322a06a575fbb323dbd38c1729781cb6adda1aa2bdae64fe6a
33,gingerm,Co-occurrence,9,13 16 18 26 32,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,ce86bd9be0f6b7404ba63651af2cb5f95d473dc3ba05d2c7d2f20be1110c9110
34,gingerm,Co-occurrence,10,13 16 18 31 34,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,ee3d4893f5134e7763693d081aea881fe058da89f1f19ada84ce3c53d8ba2716
35,gingerm,Co-occurrence,11,28 42 47 48 50,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,6f82510700ce4ec6113011b2e21615e7baefb8b84a0d81506b0b21bbd9bb5be5
36,gingerm,Co-occurrence,12,29 30 31 35 48,1 2,91.66666666666666,1.505442531356879,2026-08-28,PENDING,fa92b0407a293362c35bed874b9db652d72226c89bfab726c93c91e8723f81b7
37,frequency,Frequency,1,2 17 34 42 44,4 11,75.0,0.758817748350407,2026-08-28,PENDING,2dc7ba2771d71801a8aeac9163292acefc4c8ac10408987102c740a8cafd07e7
38,frequency,Frequency,2,10 20 34 44 45,8 11,75.0,0.758817748350407,2026-08-28,PENDING,cdadb53568ecff5a5f446a0cb268a690217c6c66671b63149de8235729a20431
39,frequency,Frequency,3,5 25 29 34 37,8 11,75.0,0.758817748350407,2026-08-28,PENDING,600616e5e78846aa33c5f48d16401f022b9f3ba74e170d6e265686dbc192a3de
40,frequency,Frequency,4,20 35 39 46 48,6 11,75.0,0.758817748350407,2026-08-28,PENDING,8b0c7e5411a9dce02989cda818abbbb275e4f5abd2e9d86c90259266680a7286
41,frequency,Frequency,5,3 13 32 35 45,6 12,75.0,0.758817748350407,2026-08-28,PENDING,930a5b817f5dd860c3e46c5fa8c3f55b135968940edde9e15fe948c263dec110
42,frequency,Frequency,6,5 16 19 48 49,7 11,75.0,0.758817748350407,2026-08-28,PENDING,71717e1da8a16a7892fe9e882f3db4773ff0f824b791ecb69d2e5dbbd586519c
43,frequency,Frequency,7,8 10 25 48 50,5 7,75.0,0.758817748350407,2026-08-28,PENDING,6b8385662817309fb7e376ec3e3a2155998ce01fe8674f11acbb0af77b6423aa
44,frequency,Frequency,8,2 24 44 45 50,8 12,75.0,0.758817748350407,2026-08-28,PENDING,31f639152806c162d2d448257bf5f4de0437f98d779d307eb7a56453b032bb78
45,frequency,Frequency,9,36 41 44 47 48,3 9,75.0,0.758817748350407,2026-08-28,PENDING,d1ae6f8a09c64313031bb987ceb91f4820e3876cb3420e6d0f56af649b2e4c62
46,frequency,Frequency,10,7 11 19 43 45,2 5,75.0,0.758817748350407,2026-08-28,PENDING,03ffc65c1b7fe8b394304632121ced093ee8ed748c9fb24b96c7c14c0412122c
47,frequency,Frequency,11,21 24 26 30 40,8 12,75.0,0.758817748350407,2026-08-28,PENDING,73c1f95cbc85354c598c235ebf2b60c71931d7082853b6ea6684dd24f68847b2
48,frequency,Frequency,12,6 9 20 33 47,5 11,75.0,0.758817748350407,2026-08-28,PENDING,c2427be5db98c863315cfd3703716db23f3692867f3e3c3621ca61cc3045d892
49,uniform_random,Uniform null,1,1 37 38 48 50,7 9,0.0,0.0,2026-08-28,PENDING,d1512a966ed7f3392261511fc4190c5b6caa70a37b23db275f652dfd8cc04148
50,uniform_random,Uniform null,2,2 14 20 41 44,2 9,0.0,0.0,2026-08-28,PENDING,0d8f9243137fa12943acb12b73c840a31c8029c80935843f3939ad1d4cf3e930
51,uniform_random,Uniform null,3,2 28 31 36 45,2 10,0.0,0.0,2026-08-28,PENDING,c3edbdd9d36169f18b1759297663c7a6137c3f45835571cb2e16b1dc9cbef211
52,uniform_random,Uniform null,4,3 5 8 30 44,3 4,0.0,0.0,2026-08-28,PENDING,1685ce9203e91f546eb3957f8901e86076edee310890d335edc3a5dbc6209830
53,uniform_random,Uniform null,5,5 7 19 41 49,11 12,0.0,0.0,2026-08-28,PENDING,f0765ddb22037900eeef4a1c01088c254430ba86454231bd5a0829a9f062f697
54,uniform_random,Uniform null,6,5 8 10 15 48,3 7,0.0,0.0,2026-08-28,PENDING,e6a2f8ae5318fe1943d0831c68dc0363cc34dfdbaec35d4c5088a42c60cc21bd
55,uniform_random,Uniform null,7,9 22 30 32 44,4 7,0.0,0.0,2026-08-28,PENDING,9c38ea529b192d076aa3e1d9d793a73553b8dacf81d04aa25df40206ed84d8b4
56,uniform_random,Uniform null,8,9 35 39 40 45,1 8,0.0,0.0,2026-08-28,PENDING,902e96e27cab491a0fffe6e1cd2f4ea798a1996b3cf0ac43b14b9a79bb4535e0
57,uniform_random,Uniform null,9,11 14 17 31 32,1 11,0.0,0.0,2026-08-28,PENDING,f32408f93ce5adf309ab7f75782966fc11b02d6ff82a221135503b78898269f6
58,uniform_random,Uniform null,10,11 18 24 30 38,6 9,0.0,0.0,2026-08-28,PENDING,c71624f88e5a3e8120f13306710abd2a32e46a9221d03080bfb41ac8fdf8afc5
59,uniform_random,Uniform null,11,14 22 32 44 49,2 5,0.0,0.0,2026-08-28,PENDING,a4f7d9bc29b10ed0193932e2fc3ca807813d22b0d66232afdbcba2aa6d86d96d
60,uniform_random,Uniform null,12,20 25 26 28 43,3 10,0.0,0.0,2026-08-28,PENDING,46c10337d1fd1c8336d5ba63f7acd5781c41d5c486411a6781ab9a95da270928
61,parallax,Parallax guard,1,40 46 47 48 50,1 9,50.0,-0.046427115384168695,2026-08-28,PENDING,bb6d88e24fbe38bccd763ebdff49a6b86642e3a3c8b6cdddff24648833e10b94
62,coordinated_aggregation,Coordinator,1,40 46 47 48 50,1 9,50.0,-0.046427115384168695,2026-08-28,PENDING,acc1ed2fcd1df6222ae93c1618a9a9d24a71d502354804de7368f53350725251
63,parallax,Parallax guard,2,33 34 38 41 44,5 8,50.0,-0.046427115384168695,2026-08-28,PENDING,35f2e76fd64e548bc1ac7945071e72d330663dabf3145aec4082ef29c686a6e1
