contest_number,draw_date,agent,contest_rank,ticket_index,main_draw,auxiliary_draw,main_hits,auxiliary_hits,roi_alpha_vs_house_pp,win_rate_vs_house_pct,crowd_escape_score,momentum_score,commitment_sha256,score_status,evaluation_scope
1,2026-07-21,uniform_random,7,1,4 27 31 40 42,3 11,0,1,0.0,0.0,96.77272362469213,83.63636363636363,233418fdefde10ff84610c4fe14c2c5fd715b3b4326e2879dd68bd3b5ce5d2d5,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,2,13 16 27 30 44,2 9,0,1,0.0,0.0,95.05005155896949,86.51515151515153,0f54647ced7117b645cceee0d5b15dacb1bc84ddf01c10c5a85fb3cf7c6ae9e1,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,3,1 12 18 26 32,1 12,0,0,0.0,0.0,81.90756779862548,79.54545454545455,edd896ae5e05af59b85b67ab4f66ec326ebfdb51c86608d4c2866e36a26eb964,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,4,3 9 20 36 44,4 10,1,0,0.0,0.0,95.10211069202563,83.93939393939395,95eae16cd1340b7321508a7976980a375d19369d8caa1bb3108d4a484d12e2f2,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,5,9 30 34 43 49,6 7,0,0,0.0,0.0,99.11358964288965,81.06060606060606,12df9d2625a097033d6a3218e9881a7e943e927e97da485a38544532293aca60,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,6,12 19 21 38 44,4 5,0,0,0.0,0.0,96.242258738815,87.57575757575758,4722c9949a72886eba60a8a8de205447e8f04f41abdf2aebc6ea6807dbbe611a,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,7,1 6 9 23 46,6 10,0,0,0.0,0.0,73.08038385967306,83.33333333333334,7b9c68d39c4b9ecb60c4fea2cc09a8d68e05bb53068e0072159bc3be7af60ed9,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,8,6 7 16 17 35,2 10,0,1,0.0,0.0,54.02318517827504,86.51515151515153,48bc6b77ed363b0962e0a4b15ed63e25adc92c1ef24f679fd757e58636c9f6c5,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,9,10 13 17 19 20,1 5,0,0,0.0,0.0,60.88985611357076,91.21212121212122,31ff23320ccf06f64d57d0ae73081986910309ec58fef25752147719fe2b16ff,observed,observed_history_forward_replay
1,2026-07-21,uniform_random,7,10,2 7 10 14 46,8 11,1,1,0.0,0.0,33.646462836073795,86.66666666666666,120b815eb54a0e3c9983e6e901d728ca44a235e7f215a85b8fa0d84b88d86b56,observed,observed_history_forward_replay
