evidence_rank,agent,agent_label,rank_within_agent,main_draw,auxiliary_draw,backtest_consistency_pct,backtest_mean_roi_alpha_pp,history_cutoff,score_status,commitment_sha256
1,unpopularity,Crowd escape,1,34 40 41 43 44 45,,100.0,0.39439798476793947,2026-08-22,PENDING,c1f2385cee349c49704888e8c1a2246fda75d4f5ad350deb6b8381645d4bae41
2,unpopularity,Crowd escape,2,33 39 41 43 44 45,,100.0,0.39439798476793947,2026-08-22,PENDING,ff037404820c5cc535eda7bb0e9eb5ec895b1b59763ea06e56bde3aa15e584f4
3,unpopularity,Crowd escape,3,32 36 38 40 41 45,,100.0,0.39439798476793947,2026-08-22,PENDING,5a21ecd95536b0798d7c54d33b8c210d1378a64b4abeefcacb42c3d528482fcf
4,unpopularity,Crowd escape,4,32 37 38 40 41 44,,100.0,0.39439798476793947,2026-08-22,PENDING,8776eb6fee795449752086ac0d1b2145393b69720f41afd1c78e762b48ed2855
5,unpopularity,Crowd escape,5,32 37 38 39 41 44,,100.0,0.39439798476793947,2026-08-22,PENDING,4bcc55f86a664a904d1a4e296eb5bbcf7978f15bed9f25f02f18f63cb363d25f
6,unpopularity,Crowd escape,6,32 37 38 39 41 43,,100.0,0.39439798476793947,2026-08-22,PENDING,706c8e6f28437fbc7e1b18bacf7a3b9164e5db499dfc2f91254d29438b17fbc5
7,unpopularity,Crowd escape,7,32 33 34 40 43 44,,100.0,0.39439798476793947,2026-08-22,PENDING,e64a68940a002ef4a8375842689b6df02eb422845ec7f282e0df43c3ee2d0421
8,unpopularity,Crowd escape,8,32 34 37 38 39 44,,100.0,0.39439798476793947,2026-08-22,PENDING,198fc3d2f2603fb78c2e801e786ed64506e8c285bbfc8cce998556e8649dcb22
9,unpopularity,Crowd escape,9,32 33 34 39 40 45,,100.0,0.39439798476793947,2026-08-22,PENDING,16bd995e28b55146488e2de58c254d6668d085a69e6bcdfe6b4a9b7ffe021a00
10,unpopularity,Crowd escape,10,33 34 36 37 38 43,,100.0,0.39439798476793947,2026-08-22,PENDING,3d5ab6bdf6e9ba03324de35b392be76eb1d1c0ac5e95557c9bdb7f2c1b970c4a
11,unpopularity,Crowd escape,11,37 38 39 40 41 43,,100.0,0.39439798476793947,2026-08-22,PENDING,1f9113d8ca83a86542ef89899e18f4aa38bb5b2b56479877007e88c518d563e7
12,unpopularity,Crowd escape,12,32 37 41 42 43 44,,100.0,0.39439798476793947,2026-08-22,PENDING,a083486fbbac8925d29162ca67b9ae7e284774be06a392a9a92e687f7841e84a
13,gingerm,Co-occurrence,1,1 17 23 35 39 41,,100.0,0.2629550918448094,2026-08-22,PENDING,06bf39fdb04bf8d045cb453995f17a3dcfdaaa128c37e68c81902ca5417c8b43
14,gingerm,Co-occurrence,2,4 24 27 31 41 42,,100.0,0.2629550918448094,2026-08-22,PENDING,be6f6f474257705113951424a2b13991ecca3af6aae7e0538f1e019b45b72fd3
15,gingerm,Co-occurrence,3,7 23 34 36 37 39,,100.0,0.2629550918448094,2026-08-22,PENDING,e74efcc1ada7908b678aed78311479a21c00871b5542c404dd16ea23c0b4a604
16,gingerm,Co-occurrence,4,8 25 37 43 44 45,,100.0,0.2629550918448094,2026-08-22,PENDING,f1d21e38b3794b2ba443e5ee3baa847004e9d580dbec203e3235574bfcd3f0bc
17,gingerm,Co-occurrence,5,12 13 17 27 34 41,,100.0,0.2629550918448094,2026-08-22,PENDING,4996737f85c5ef460db9115bca6d1da9878322c76535a56c78116ab4451641cc
18,gingerm,Co-occurrence,6,13 14 17 20 25 41,,100.0,0.2629550918448094,2026-08-22,PENDING,ee6a75aa91efb987a7deaaa7a44e83da73235fe26843fe185c4e71d68b1586c2
19,gingerm,Co-occurrence,7,14 25 34 38 39 43,,100.0,0.2629550918448094,2026-08-22,PENDING,e90c03b73e79abefe9fa0854065f630ca2543ae35de0f230821a563866f245ba
20,gingerm,Co-occurrence,8,16 27 37 41 43 45,,100.0,0.2629550918448094,2026-08-22,PENDING,a0c76a2475be607e16f5c01808258d5b456e643d2f37c13fb3c975b20bb297de
21,gingerm,Co-occurrence,9,17 19 31 32 35 41,,100.0,0.2629550918448094,2026-08-22,PENDING,21c8d8720e33fc390e1b9561df1608d7f52b255657b8afb29e072554b4d28bf5
22,gingerm,Co-occurrence,10,17 20 23 39 41 45,,100.0,0.2629550918448094,2026-08-22,PENDING,3d4f8d9190efca5680413285bf855da74cce27da176b812ed554cfffaa6692e9
23,gingerm,Co-occurrence,11,20 36 37 41 44 45,,100.0,0.2629550918448094,2026-08-22,PENDING,19310176d52361e2b3a827b8907555559e63fadc32a4c12f5a11bd1b380e812f
24,gingerm,Co-occurrence,12,25 33 37 38 43 44,,100.0,0.2629550918448094,2026-08-22,PENDING,7fc8bcf40e8aa132336f1dcbe54b5d417bb68e64192f71ecc8f2d65109890764
25,spectral_contrarian,Spectral contrarian,1,10 15 26 33 38 45,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,69cf16494260cd4cba3d6fe856ba67e0b7d22de6eb0a542ff723eda9a12f8aeb
26,spectral_contrarian,Spectral contrarian,2,2 6 12 22 29 40,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,b7ce7361081f594f54877aea4a0fba37ac6f69b9a91ea087cdc59fa7df459bf9
27,spectral_contrarian,Spectral contrarian,3,1 7 16 22 33 42,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,7a9f4360efe20049bf8198b08ff9057f2498547060fb21a53de03f83a93e128c
28,spectral_contrarian,Spectral contrarian,4,6 15 21 25 32 45,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,74d5a92a5bc4eeb0f0583092bafa7a46c7e30725acbf9ca25e0495e73fa545af
29,spectral_contrarian,Spectral contrarian,5,5 15 21 32 40 44,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,99757682fb08898ad61cbaad770ff76ab8b6a595181ceb30b7bb16f88b6a3274
30,spectral_contrarian,Spectral contrarian,6,4 13 20 23 30 42,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,56a28d08214118846ff9dfe9e00a9fd115eb7f4bc8705c44389973126253468c
