evidence_rank,agent,agent_label,rank_within_agent,main_draw,auxiliary_draw,backtest_consistency_pct,backtest_mean_roi_alpha_pp,history_cutoff,score_status,commitment_sha256
1,unpopularity,Crowd escape,1,40 43 44 47 50,3 8,100.0,0.3952331242512366,2025-11-26,PENDING,28d8f916711de9d01f8421a69ad4cd9f2535a815b2d5a6013d6d728b465afa8b
2,unpopularity,Crowd escape,2,36 41 47 48 50,5 11,100.0,0.3952331242512366,2025-11-26,PENDING,8a2946f6827679b3df6fb1f7721dfb769efcce03cc99405cc168e8abf249da40
3,unpopularity,Crowd escape,3,39 41 45 47 50,1 12,100.0,0.3952331242512366,2025-11-26,PENDING,b90389ea2f6ac356bb507614cbb649f2b890d1192a3aa4799072a3bcb774447d
4,unpopularity,Crowd escape,4,36 43 44 46 50,4 9,100.0,0.3952331242512366,2025-11-26,PENDING,1a144b2f7387dd36e6514b916825f13341e2c5c1e2668476ccaeebc8a77a93f7
5,unpopularity,Crowd escape,5,38 41 45 47 48,6 11,100.0,0.3952331242512366,2025-11-26,PENDING,8f7fd9e01551bb5375b61c287738d27bcd85a36e7f1ce45aab4970515c200bec
6,unpopularity,Crowd escape,6,37 40 41 47 48,6 9,100.0,0.3952331242512366,2025-11-26,PENDING,adcb7c47210e72b5d6617f2aeb17b29dc08aa040510a171f44fd54f20d871e1b
7,unpopularity,Crowd escape,7,41 43 46 48 50,8 11,100.0,0.3952331242512366,2025-11-26,PENDING,9c20e0156761f3121da295dcd07be0437a1b816417ad2096a49163a6633b73f0
8,unpopularity,Crowd escape,8,33 41 43 46 47,3 11,100.0,0.3952331242512366,2025-11-26,PENDING,505788e09294f956478b257575f8e60f047058f9307a20095cbab95675a81e4f
9,unpopularity,Crowd escape,9,40 45 46 47 48,11 12,100.0,0.3952331242512366,2025-11-26,PENDING,883e1fc18c56b5786742c57b9d470cd084a3dbfa051934f8c4d2c406e3503b98
10,unpopularity,Crowd escape,10,33 37 43 47 48,1 5,100.0,0.3952331242512366,2025-11-26,PENDING,fdaebe5f6a1b7abe89d1b0535b456446198cc902fcfd32a7f8b464744520c9cc
11,unpopularity,Crowd escape,11,32 40 41 47 48,5 10,100.0,0.3952331242512366,2025-11-26,PENDING,52e06c9ddce5e08d21c0d65b7e7e32c5936697b414fc4de6b0167ac38e24f230
12,unpopularity,Crowd escape,12,33 37 40 47 50,6 12,100.0,0.3952331242512366,2025-11-26,PENDING,07bc66a9c60977aab1a38c46a2523f7d40de6d43a93fc105a6c548725183b6c6
13,spectral_contrarian,Spectral contrarian,1,2 14 21 34 41,7 11,100.0,0.24946432375958782,2025-11-26,PENDING,4fd9048d0ae031d435209ed6bb45f5bc4476ec625920fb1d61f8360bcd4c86a4
14,spectral_contrarian,Spectral contrarian,2,3 14 21 35 46,2 7,100.0,0.24946432375958782,2025-11-26,PENDING,59fe03e8365889155f870b5e4bce5e5ad4f08ee636c728d94548fedd6d67fd2f
15,spectral_contrarian,Spectral contrarian,3,2 13 21 34 44,2 6,100.0,0.24946432375958782,2025-11-26,PENDING,35a2d3e4b92b827764075345b51e8b355c2b90707e928226205199051fce7800
