contest_number,draw_date,agent,contest_rank,ticket_index,main_draw,auxiliary_draw,main_hits,auxiliary_hits,roi_alpha_vs_house_pp,win_rate_vs_house_pct,crowd_escape_score,momentum_score,commitment_sha256,score_status,evaluation_scope
1,2025-09-10,uniform_random,4,1,8 20 24 29 31,2 9,2,0,0.0,0.0,81.43383846147461,65.71428571428571,26e439236d1a0c3b156210edab6ebd71d4b25eecc030d5977efe4a2dc7137603,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,2,11 15 21 22 49,5 11,0,0,0.0,0.0,85.33017656434707,54.285714285714285,891cb50d6c9a6da290072d53540cfd97d87c76959a06f8e41848c7072df7e010,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,3,4 29 37 45 49,2 10,1,0,0.0,0.0,99.29710656518802,65.71428571428571,e3dd943523ad2123d8e3252c5ee88849de75a3baa442a736f05d2de8e76af9d6,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,4,5 20 34 47 50,3 12,1,1,0.0,0.0,99.47611981474951,57.14285714285714,085a1b20b2902e647229e718be5075db943afe1806e230cdf1d7c989feeae5a1,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,5,4 12 18 48 49,3 12,0,1,0.0,0.0,95.68734013717645,57.14285714285714,744100bb1789eb44a6cd7daea0839a4f3384f927e306fbe1a986fc93901ec355,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,6,15 20 21 39 43,1 8,2,0,0.0,0.0,98.0313509453961,62.857142857142854,a48d1e45fc11af099db257275dcd29cc9d955304087a04037d91f8a13cb05eee,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,7,8 10 15 17 19,1 11,0,0,0.0,0.0,50.18217435725866,37.14285714285714,1dbfa70c8275954cf78f1af993376c33b5ad129916155c703037b5db619c5f23,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,8,4 25 29 35 39,5 6,1,0,0.0,0.0,96.97164923228894,65.71428571428571,376696ebee02cdace495f611ee8fc40ae04eb6878532db3b4a7a09619331de34,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,9,10 11 16 46 47,3 6,0,1,0.0,0.0,97.087557257569,34.285714285714285,871c9482e03065ac1e4b9b9d91a9d972089f2c0810c4c06a97a0a5f666aac1e7,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,10,9 10 11 15 34,8 11,0,0,0.0,0.0,76.9484595140803,45.714285714285715,8d41d38a803cbf7fff592435c92a213257cb7e36465f87d1a3689de85420e013,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,11,4 13 26 37 49,6 9,1,0,0.0,0.0,96.83025528737663,60.0,c894fc408986b46cdb524f94dd47c946cc7bb8b1c95f5295915a7d48ca0f7cde,observed,synthetic_forward_replay
1,2025-09-10,uniform_random,4,12,16 25 35 44 47,4 6,0,0,0.0,0.0,99.52652046763069,51.42857142857142,b0ffbc2215a87e70555017b458e4c19e1e6c2afd574fe3dc539764321fa3ec53,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,1,9 15 25 29 39,4 6,1,0,-0.3882865976106986,0.0,93.39173815997205,77.14285714285714,2b1fca1b6f29b0676da631c6b07233c140a293e093451c10ff11129fea6ae14b,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,2,4 12 16 21 50,8 9,0,0,-0.3882865976106986,0.0,82.8207434131458,60.0,1706c7486ca82ae7bbbc9fbb807421835de4a22ffc7c9017bd269fd5cec1bd4a,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,3,4 12 33 39 42,4 7,0,1,-0.3882865976106986,0.0,98.32818458937072,54.285714285714285,d90ab27b6b1a1edd6077afae08044957eff3b64841bf2e705a198e1906f2b281,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,4,11 19 20 27 43,2 3,2,1,-0.3882865976106986,0.0,93.68555598155187,60.0,8a1c1a466b6f79ee2769b0e414c2771786fe7df0a8f66260a54e502dd6206c8c,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,5,7 20 22 36 48,1 6,1,0,-0.3882865976106986,0.0,97.01737373079565,57.14285714285714,e47dd928a240d2a1b1ae0091ee42ab2e4c38f67fd3f28af82120807cc7fe490e,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,6,2 3 10 16 29,7 11,1,1,-0.3882865976106986,0.0,20.080600661150903,54.28571428571429,c528114d8f5b3af8b0ea6d450a933fe92c4b3961ef7c8ff1bfda328ea96100bb,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,7,4 7 9 23 29,3 11,2,1,-0.3882865976106986,0.0,0.0,68.57142857142857,47ef5ccaaea54a48c91090e2d62cfd56a79f7239108f77a412fa346580cebee7,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,8,9 26 36 40 45,4 5,1,0,-0.3882865976106986,0.0,99.47611981474951,54.28571428571429,943533401c74a79f9d4453054fd32f4956b31548bb834c73a29d05a9b011a3c6,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,9,3 13 20 31 35,5 6,1,0,-0.3882865976106986,0.0,87.54771873419362,60.0,4638184b08b8b55836690d3c78cf9f80e54e27a65dfe42656741c777e381ade9,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,10,3 9 34 37 45,3 7,0,2,-0.3882865976106986,0.0,98.85749400231781,57.14285714285714,feb23e05ad0f77edecd90a9589a29367dbe13600dde2031b67d1dfed35323693,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,11,10 15 24 28 35,7 8,0,1,-0.3882865976106986,0.0,83.93581489799064,54.285714285714285,aec47a9d4a485c1b51d8e62904a683d63e5bc6e2f3953e4af8ef78d111ea462d,observed,synthetic_forward_replay
1,2025-09-10,frequency,7,12,1 4 13 33 37,6 8,0,0,-0.3882865976106986,0.0,94.48771786888197,60.0,f9c4863aea8769a2591a50bbf87cb751fd600c081e04ea6a19a7c0653de30e8f,observed,synthetic_forward_replay
1,2025-09-10,unpopularity,1,1,38 39 45 48 50,5 12,0,0,0.43933648802778613,100.0,99.99810641683963,48.57142857142856,318921af603271456fcaae8ae788f2ed55d478421e4e92131de61edb1bad8cd8,observed,synthetic_forward_replay
1,2025-09-10,unpopularity,1,2,38 40 44 47 50,4 8,0,0,0.43933648802778613,100.0,99.99777378664831,42.857142857142854,d8e7110af68ceb471e48a994bc902f8e4a25ce068de15242e89a8985d1b1b137,observed,synthetic_forward_replay
