draw_date,ball_1,ball_2,ball_3,ball_4,star_1
2025-01-01,5,7,9,11,1
2025-01-08,2,6,9,10,1
2025-01-15,5,6,8,11,3
2025-01-22,1,2,9,12,4
2025-01-29,1,6,7,8,3
2025-02-05,1,3,8,9,1
2025-02-12,1,5,7,11,4
2025-02-19,2,7,9,10,3
2025-02-26,1,3,6,10,3
2025-03-05,2,3,5,11,4
2025-03-12,4,5,8,12,3
2025-03-19,2,4,10,12,1
2025-03-26,6,7,8,12,3
2025-04-02,2,5,7,11,1
2025-04-09,1,3,7,11,4
2025-04-16,2,3,9,12,2
2025-04-23,3,6,8,12,1
2025-04-30,2,4,9,11,2
2025-05-07,1,3,9,10,2
2025-05-14,2,6,11,12,3
2025-05-21,3,4,11,12,2
2025-05-28,2,6,8,9,3
2025-06-04,4,6,8,12,2
2025-06-11,1,5,6,12,4
2025-06-18,2,4,5,6,1
2025-06-25,2,4,5,8,3
2025-07-02,1,3,8,12,3
2025-07-09,1,2,3,12,2
2025-07-16,2,3,8,9,4
2025-07-23,6,8,10,11,3
2025-07-30,3,5,11,12,2
2025-08-06,2,7,9,12,2
2025-08-13,2,7,10,11,2
2025-08-20,1,3,9,12,4
2025-08-27,3,4,5,10,2
2025-09-03,3,4,7,8,2
2025-09-10,4,6,10,11,2
2025-09-17,4,5,7,10,4
2025-09-24,4,7,9,12,3
2025-10-01,1,3,5,9,1
2025-10-08,1,4,11,12,1
2025-10-15,3,6,7,10,4
2025-10-22,4,5,7,11,2
2025-10-29,2,6,9,12,3
2025-11-05,2,3,10,11,4
2025-11-12,6,8,9,11,2
2025-11-19,2,5,7,8,3
2025-11-26,3,6,7,9,3
